,precision,recall,f1-score,support
blues,0.889937106918239,0.8984126984126984,0.8941548183254344,315.0
classical,0.9479553903345725,0.940959409594096,0.9444444444444444,271.0
country,0.8122977346278317,0.8422818791946308,0.8270181219110379,298.0
disco,0.8166666666666667,0.8506944444444444,0.8333333333333334,288.0
hiphop,0.8557377049180328,0.8938356164383562,0.8743718592964824,292.0
jazz,0.8310344827586207,0.9233716475095786,0.8747731397459165,261.0
metal,0.890728476821192,0.950530035335689,0.9196581196581196,283.0
pop,0.8608058608058609,0.8422939068100358,0.8514492753623188,279.0
reggae,0.8656126482213439,0.8233082706766918,0.8439306358381503,266.0
rock,0.8157894736842105,0.6326530612244898,0.7126436781609196,294.0
accuracy,0.8587987355110642,0.8587987355110642,0.8587987355110642,0.8587987355110642
macro avg,0.858656554575657,0.8598340969640711,0.8575777426076158,2847.0
weighted avg,0.8583077969829089,0.8587987355110642,0.8568694665037919,2847.0
