,precision,recall,f1-score,support
blues,0.9304635761589404,0.8920634920634921,0.9108589951377634,315.0
classical,0.9121621621621622,0.996309963099631,0.9523809523809523,271.0
country,0.8813559322033898,0.87248322147651,0.8768971332209107,298.0
disco,0.8622950819672132,0.9131944444444444,0.8870151770657673,288.0
hiphop,0.9368421052631579,0.9143835616438356,0.925476603119584,292.0
jazz,0.9631147540983607,0.9003831417624522,0.9306930693069307,261.0
metal,0.9069767441860465,0.9646643109540636,0.934931506849315,283.0
pop,0.9534883720930233,0.8817204301075269,0.9162011173184358,279.0
reggae,0.8943396226415095,0.8909774436090225,0.8926553672316384,266.0
rock,0.7905405405405406,0.7959183673469388,0.7932203389830509,294.0
accuracy,0.9012996136283807,0.9012996136283807,0.9012996136283807,0.9012996136283807
macro avg,0.9031578891314342,0.9022098376507918,0.9020330260614349,2847.0
weighted avg,0.9024302080631749,0.9012996136283807,0.9012295163235919,2847.0
